n_estimators,max_depth,validation_accuracy,validation_f1_score,training_accuracy,training_f1_score,difference
5,15,0.7017720369159218,0.6605556446943014,0.7120423084505473,0.6730342210828442,0.010270271534625453
5,16,0.7766484993823123,0.7549133634843652,0.7942335879040345,0.7741822515569686,0.017585088521722247
5,17,0.8180793546980597,0.8093635682261299,0.84360050399856,0.8360516704251932,0.025521149300500312
5,18,0.8332025288859821,0.8254714190436931,0.8645233013619961,0.8577200705059363,0.03132077247601395
5,19,0.8510598793692319,0.8474440230377926,0.8971667223807932,0.8945123567541079,0.046106843011561316
5,20,0.8521237555410217,0.8495889464220281,0.9115022242793592,0.9100598136267288,0.05937846873833752
5,21,0.8579707143376208,0.8553485783047532,0.912598506861409,0.9111284238592552,0.05462779252378813
5,22,0.8702227309061842,0.8693108598328514,0.9453128991060026,0.9449034884133141,0.0750901681998184
5,23,0.8733874718407093,0.8720677839676051,0.9578194348016148,0.9575958485461642,0.0844319629609055
5,24,0.8759588692682218,0.8753410737200885,0.9639767886377467,0.9638303145733635,0.08801791936952497
5,25,0.8815315020710704,0.8809053909783221,0.9735895326013354,0.9735129954675448,0.09205803053026496
5,26,0.8811746966063513,0.8808928302392908,0.9789132316764809,0.9788576291406758,0.09773853507012964
5,27,0.8825078119322723,0.8825208152913965,0.9842371878937489,0.984212560307079,0.10172937596147658
5,28,0.8868007412252017,0.886632823569009,0.9872502078565489,0.9872291065501508,0.10044946663134724
5,29,0.8824801976600538,0.8825167314579215,0.9884928043062734,0.9884811759968923,0.10601260664621959
5,30,0.8857626625971949,0.8858202118520371,0.9918016234239331,0.991792671634519,0.10603896082673814
6,15,0.7182461303684325,0.6789911113391494,0.7339119888228891,0.6971302892724361,0.01566585845445656
6,16,0.7927679674442264,0.7753134119181785,0.8105567984091474,0.7946241756992891,0.01778883096492101
6,17,0.8273381294964028,0.820283524436803,0.8553243847874721,0.8496738653042389,0.02798625529106924
6,18,0.8424289659181745,0.8362481166534436,0.8814542244165017,0.876648703148374,0.039025258498327164
6,19,0.8522320325557735,0.8485345530728882,0.9002975134356759,0.8975323736579088,0.04806548087990237
6,20,0.8607103408182545,0.8584293754041944,0.9202802849134717,0.9189511199510499,0.05956994409521721
6,21,0.8614479325630405,0.8587773379441997,0.9235609041117026,0.922590453794346,0.06211297154866202
6,22,0.8742377007484922,0.8733539360966786,0.9502697420864512,0.9499783769144373,0.07603204133795904
6,23,0.8759843034663178,0.8752035155855151,0.9627624778214919,0.9626219171342615,0.0867781743551741
6,24,0.8795890560279049,0.8791155204130442,0.9686159753829274,0.9684843217309037,0.0890269193550225
6,25,0.8835589710050141,0.8829959439375258,0.9763445533012762,0.9762829820788392,0.0927855822962621
6,26,0.882619359058208,0.8822427570664702,0.9804503415704526,0.9803985775653482,0.09783098251224465
6,27,0.8841853789695516,0.8843437206803111,0.9860244970728655,0.9860009576099618,0.10183911810331392
6,28,0.8880833515006177,0.8880642859589118,0.9887389750314999,0.9887211967234564,0.1006556235308822
6,29,0.8837729816147082,0.883772870765431,0.9901776852066136,0.990168996735422,0.10640470359190546
6,30,0.8862804302012935,0.8865480787550328,0.9924102788277748,0.9924028025069341,0.10612984862648123
7,15,0.729480415667466,0.6910530930802008,0.7443099591144026,0.7080233523031247,0.014829543446936544
7,16,0.7963214882639343,0.7814365401248344,0.8172829506201411,0.8034041932951316,0.020961462356206773
7,17,0.8258941937359203,0.817990800094664,0.8525907925977354,0.8457456303965629,0.02669659886181508
7,18,0.8441719351791295,0.8382142418609312,0.8820795940583027,0.8774200513466229,0.037907658879173245
7,19,0.853147663687232,0.849771806484866,0.8995827440493027,0.8968520372470765,0.04643508036207067
7,20,0.8600864762735266,0.8575487060544331,0.9206611981108626,0.9195573839056015,0.06057472183733592
7,21,0.8615910907637526,0.8586708562702794,0.9237491321453367,0.922761771126134,0.062158041381584095
7,22,0.8743074631204127,0.8732937827459737,0.9502573135505327,0.9499502767098257,0.07594985043011993
7,23,0.8778548070634402,0.8769404262489238,0.9644087016894237,0.9642652357506694,0.08655389462598351
7,24,0.8784743114599229,0.8779960909530286,0.9679688343747589,0.9678495445475636,0.08949452291483595
7,25,0.8816277886781484,0.8810924883704567,0.9759044974157217,0.9758395309891843,0.09427670873757332
7,26,0.8834288932490372,0.8830658348810441,0.9808762546392724,0.9808238407452066,0.09744736139023524
7,27,0.8836828718843107,0.8837233928387935,0.9860936683038048,0.9860695505396315,0.10241079641949413
7,28,0.8874849211539859,0.8874251565246242,0.9892436593038305,0.9892276409447509,0.1017587381498446
7,29,0.8841152532519438,0.8840366615992193,0.9907511121396796,0.9907423783950727,0.10663585888773575
7,30,0.8869388125862946,0.8871560906974765,0.992578364061817,0.9925709613382225,0.1056395514755224
8,15,0.7494059298016132,0.7199817354858012,0.7681070054085559,0.7414706071985242,0.018701075606942674
8,16,0.801730615507594,0.7886070641345259,0.8278172919505944,0.815893101859837,0.026086676443000445
8,17,0.8316005377516169,0.8258485618491995,0.8688590604026846,0.864624943174956,0.03725852265106766
8,18,0.8496722621902478,0.8457734874555258,0.8915461098682576,0.888418124809783,0.041873847678009724
8,19,0.8535313567327956,0.8509659360953679,0.9044901300281999,0.9027344095976015,0.050958773295404325
8,20,0.8643866724801976,0.8622844379096025,0.9273018077091209,0.9264589466124891,0.06291513522892322
